ra,dec,name,type,peak
124.467732,35.668409,J081752.24_354006.2,Gauss,1023.22
9.159617,34.533187,J003638.30_343159.4,Gauss,1267.78
221.911242,27.385452,J144738.69_272307.5,Gauss,877.79
143.450697,51.735976,J093348.17_514409.92,Gauss,467.32
15.727502,7.336689,010254.60_072012.0,Gauss,304.5
161.69105,51.392612,J104645.85_512333.40,Gauss,998.26
189.032725,44.488247,J123607.85_442917.6,Gauss,581.54
152.175174,26.182674,100842.04_261057.6,Gauss,152.11
156.353075,31.956753,J102524.73_315724.2,Gauss,1277.59
148.311829,25.118113,J095314.84_250705.1,Gauss,57.17
138.754881,27.680478,J091501.18_274049.7,Gauss,498.77
348.56744,20.993898,J231416.19_205937.9,Gauss,1482.76
16.034662,29.818282,J010408.32_294905.70,Gauss,972.46
287.64248,48.036623,J191034.19_480211.82,Gauss,1166.71
137.860609,16.526132,J091126.54_163134.00,Gauss,1441.24
46.463906,1.692662,J030551.33_014133.5,Gauss,1549.49
176.254003,11.866978,J114500.96_115201.05,Gauss,81.5
151.828107,56.003342,J100718.75_560012.04,Gauss,1546.69
11.861406,0.929889,J004726.73_005547.60,Gauss,84.24
129.240515,54.16297,J083657.73_540946.64,Gauss,463.5
224.087245,28.670629,J145620.94_284014.23,Gauss,1386.58
145.09174,27.654363,J094022.01_273915.7,Gauss,838.61
198.444718,53.530143,J131346.73_533148.4,Gauss,420.08
128.595859,53.641758,J083423.01_533830.3,Gauss,191.81
253.553792,37.584486,J165412.90_373504.0,Gauss,1395.8
223.004894,21.2986,J145201.17_211754.9,Gauss,1597.21
189.48258,15.684295,J123755.82_154103.4,Gauss,338.84
224.274801,28.460062,J145705.95_282736.2,Gauss,1687.39
224.554702,44.385689,J145813.13_442308.46,Gauss,218.5
200.367443,19.316668,132128.19_191859.9,Gauss,1145.99
37.70858,0.97868,J023050.07_005843.2,Gauss,104.18
194.173,42.930989,J125641.51_425551.3,Gauss,129.43
186.096001,23.911953,J122423.05_235442.97,Gauss,630.91
216.155604,34.221193,J142437.34_341316.2,Gauss,1395.83
167.366672,-2.396473,J110927.99-022347.4,Gauss,1198.16
164.853827,33.664903,J105924.91_333953.5,Gauss,554.78
13.467319,39.925132,J005352.16_395530.3,Gauss,441.34
139.832875,33.069568,J091919.89_330410.3,Gauss,951.6
221.747628,33.64286,J144659.42_333834.2,Gauss,762.57
183.732275,-3.020263,J121455.74-030112.8,Gauss,1528.74
220.965332,26.1327,144351.68_260757.7,Gauss,316.41
355.111982,10.830995,J234026.88_104951.5,Gauss,1235.25
197.807286,3.95733,J131113.74_035726.2,Gauss,111.71
208.115916,18.997007,J135227.82_185949.2,Gauss,114.16
158.65362,23.196949,J103436.87_231148.9,Gauss,316.29
332.585034,5.927019,J221020.42_055537.2,Gauss,151.25
152.277517,49.024375,J100906.61_490127.71,Gauss,1508.23
133.517315,49.032255,J085404.16_490156.0,Gauss,943.66
180.162092,54.236738,J120038.91_541412.27,Gauss,1783.43
180.383804,37.486622,J120132.12_372911.76,Gauss,1148.48
139.40239,44.332634,J091736.58_441957.4,Gauss,117.17
146.849569,47.11556,J094723.89_470655.9,Gauss,240.27
197.187418,9.96218,J130844.98_095743.8,Gauss,603.78
158.132415,55.812342,J103231.77_554844.4,Gauss,1244.18
122.236029,40.87916,J080856.64_405244.9,Gauss,1466.55
44.909329,6.614659,J025938.24_063652.8,Gauss,660.81
208.893233,30.355661,J135534.38_302120.3,Gauss,559.82
10.283278,40.046814,J004107.98_400248.5,Gauss,1313.39
158.697287,45.450895,J103447.34_452703.2,Gauss,252.19
221.982137,21.400966,J144755.71_212403.5,Gauss,156.62
166.405992,30.628037,J110537.44_303740.7,Gauss,891.72
137.155235,12.532053,J090837.25_123155.33,Gauss,1426.27
123.613378,4.041428,081427.21_040229.1,Gauss,1125.01
132.478158,47.783693,J084954.77_474701.4,Gauss,1479.71
160.407278,17.242302,104137.75_171432.2,Gauss,309.75
